Year,Country of Origin Code,Country of Asylum Code,Country of Origin Name,Country of Asylum Name,Procedure Type,Procedure Name,Application Type Code,Application Type,Application Data Type,Application Data,Application Average Persons Per Case,Number of Applications
#date+year,#country+code+origin,#country+code+asylum,#country+name+origin,#country+name+asylum,#indicator+procedure_type,#indicator+procedure+name,#indicator+application_type+code,#indicator+application_type,#indicator+application_data_type,#indicator+application_data,#indicator+application_average_persons+num,#inneed+asylum_seekers+applications
2023,DEU,POL,Germany,Poland,G,Government,A,Appeal,P,Persons,0,9
2023,DEU,RUS,Germany,Russian Federation,G,Government,N,New,P,Persons,0,166
2023,DEU,SWE,Germany,Sweden,G,Government,N,New,P,Persons,0,5
2023,DEU,CHE,Germany,Switzerland,G,Government,N,New,P,Persons,0,6
2023,DEU,USA,Germany,United States of America,G,Government,A,Appeal,P,Persons,0,5
2023,DEU,USA,Germany,United States of America,G,Government,N,New,P,Persons,0,365
2023,DEU,USA,Germany,United States of America,G,Government,N,New,P,Persons,0,43
2024,DEU,AUS,Germany,Australia,G,Government,N,New,P,Persons,0,7
2024,DEU,BLR,Germany,Belarus,G,Government,N,New,P,Persons,0,5
2024,DEU,BRA,Germany,Brazil,G,Government,N,New,P,Persons,0,21
2024,DEU,CAN,Germany,Canada,G,Government,A,Appeal,P,Persons,0,5
2024,DEU,CAN,Germany,Canada,G,Government,N,New,P,Persons,0,13
2024,DEU,NOR,Germany,Norway,G,Government,N,New,P,Persons,0,5
2024,DEU,POL,Germany,Poland,G,Government,A,Appeal,P,Persons,0,5
2024,DEU,RUS,Germany,Russian Federation,G,Government,N,New,P,Persons,0,67
2024,DEU,SVK,Germany,Slovakia,G,Government,N,New,P,Persons,0,5
2024,DEU,CHE,Germany,Switzerland,G,Government,N,New,P,Persons,0,6
2024,DEU,USA,Germany,United States of America,G,Government,N,New,P,Persons,0,81
2024,DEU,USA,Germany,United States of America,G,Government,N,New,P,Persons,0,18
